CODIGO|NOME|ESTADO
0045|ELETROACRE - CIA ELETRICIDADE DO ACRE|AC
0003|CEAL - CIA. ENERGÉTICA DE ALAGOAS|AL
0170|GÁS DE ALAGOAS S.A - ALGAS|AL
0004|CEAM - COMPANHIA ENERGÉTICA DO AMAZONAS|AM
0047|ELETRONORTE - CENTRAIS ELÉTRICAS DO NORTE|AM
0120|MANAUS ENERGIA S.A|AM
0002|CEA - CIA. DE ELETRICIDADE DO AMAPÁ|AP
0030|COELBA - CIA. ELETRICIDADE DO ESTADO DA BAHIA|BA
0127|COMPANHIA DE GÁS DA BAHIA - BAHIAGAS|BA
0182|BAHIANA DISTRIBUIDORA DE GÁS LTDA |BA, SE, AL, PE, PB, RN, CE, MA, PI, TO, PA, AP, AM, RO, AC, RR
0163|CPFL COMERCIALIZAÇÃO BRASIL|BR
0031|COELCE - CIA. ELETRICIDADE DO CEARÁ|CE
0005|CEB DISTRIBUIÇÃO S.A|DF
0044|EMPRESA LUZ E FORÇA SANTA MARIA|ES
0051|ESCELSA - ESPÍRITO SANTO CENTRAIS ELÉTRICAS |ES
0009|CELG - CENTRAIS ELÉTRICAS DE GOIÁS  |GO
0023|CHESP - CIA. HIDROELÉTRICA SÃO PATRÍCIO|GO
0096|COOPERATIVA DE ELETRIFICAÇÃO E TELEFONIA RURAL DE MATO GROSSO GOIANO LTDA. – CETERMAGG|GO
0013|CEMAR - CENTRAIS ELÉTRICAS DO MARANHÃO |MA
0015|CEMIG - CIA. ENERGÉTICA MINAS GERAIS|MG
0138|CEMIG - DISTRIBUIÇÃO S.A. |MG
0139|CEMIG - GERAÇÃO E TRANSMISSÃO S.A. |MG
0115|CERUBE - COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DE MINAS GERAIS|MG
0024|CIA. DE FORÇA E LUZ CATAGUASES LEOPOLDINA|MG
0145|CIA. DE FORÇA E LUZ CATAGUASES LEOPOLDINA - CORPORATIVA|MG
0041|DME - DEPARTAMENTO MUN. DE ENERGIA POÇOS DE CALDAS|MG
0207|ENERGISA MINAS GERAIS-FIDC|MG
0212|GASMIG - COMPANHIA DE GÁS DE MINAS GERAIS|MG
0104|CERBEMS - COOPERATIVA DE ELETRIFICAÇÃO RURAL DO BOLSÃO DE MATO GROSSO DO SUL|MS
0176|COMPANHIA DE GÁS DO ESTADO DE MATO GROSSO DO SUL-MSGÁS |MS
0088|COOPERATIVA DE ENERGIZAÇÃO E DESENVOLVIMENTO RURAL DA GRANDE DOURADOS LTDA. – CERGRAND|MS
0199|EMPRESA ENERGÉTICA DE MATO GROSSO DO SUL S/A-ENERSUL - FIDC|MS
0210|ENERGISA MATO GROSSO DO SUL-FIDC|MS
0050|ENERSUL - EMPR. DE ENERGIA ELÉTRICA  MATO GROSSO DO SUL|MS
0159|CEMAT - CENTRAIS ELÉTRICAS  MATOGROSSENSES - BID|MT
0014|CEMAT - CENTRAIS ELÉTRICAS MATOGROSSENSES|MT
0154|CEMAT - CENTRAIS ELÉTRICAS MATOGROSSENSES - FDIC|MT
0206|ENERGISA MATO GROSSO-FIDC|MT
0010|CELPA - CENTRAIS ELÉTRICAS DO PARÀ|PA
0160|CELPA - CENTRAIS ELÉTRICAS DO PARÀ - BID|PA
0189|CELPA - CENTRAIS ELÉTRICAS DO PARÀ - BID II|PA
0098|JARI CELULOSE S.A|PA
0180|PREFEITURA MUNICIPAL DE CURRALINHO|PA
0007|CELB - CIA ELETRICIDADE DE BORBOREMA|PB
0147|CELB - CIA ELETRICIDADE DE BORBOREMA - CORPORATIVA|PB
0169|CERSOL - COOPERATIVA DE ELETRIFICAÇÃO RURAL DE SOUSA LTDA|PB
0141|COOPERATIVA DE ELETRIFICAÇÃO RURAL DO LITORAL LTDA. - JOÃO PESSOA|PB
0130|COOPERATIVA DE ENERGIA E DESENVOLVIMENTO RURAL DO MÉDIO PIRANHAS LTDA.|PB
0128|COOPERATIVA DE ENERGIA E DESENVOLVIMENTO RURAL DO VALE DO RIO DO PEIXE LTDA.|PB
0142|COOPERATIVA DE ENERGIZAÇÃO E DESENVOLVIMENTO AGROPECUÁRIO DE ALAGOINHA LTDA.|PB
