CODIGO|NOME|ESTADO
0011|BRASIL TELECOM - FILIAL ACRE|AC
0149|BRASIL TELECOM CELULAR - ACRE|AC
0188|PEGASUS|AC
0053|TELEACRE CELULAR|AC
0133|TELEMAR ACRE|AC
0134|TELEMAR ACRE CORPORATIVO|AC
0194|TNL PCS S/A - OI|AC
0298|614 TVT MACEIO S/A|AL
0383|NET MACEIÓ|AL
0174|PEGASUS|AL
0052|TELASA CELULAR|AL
0010|TELEMAR - AL (TELASA)|AL
0094|TELEMAR AL CORPORATIVO|AL
0195|TNL PCS S/A - OI|AL
0291|VIVO - ALAGOAS|AL
0322|NET MANAUS|AM
0073|NTB – NORTE BRASIL TELECOM S.A - AMAZONAS|AM
0175|PEGASUS|AM
0051|TELEAMAZON CELULAR|AM
0009|TELEMAR - AM (TELAMAZON)|AM
0103|TELEMAR AM CORPORATIVO|AM
0196|TNL PCS S/A - OI|AM
0076|NTB – NORTE BRASIL TELECOM S.A - AMAPÁ|AP
0189|PEGASUS|AP
0054|TELEAMAPA CELULAR|AP
0012|TELEMAR - AP (TELEAMAPÁ)|AP
0104|TELEMAR AP CORPORATIVO|AP
0197 |TNL PCS S/A - OI|AP
0176|PEGASUS|BA
0041|TELEBAHIA CELULAR|BA
0013|TELEMAR - BA (TELEBAHIA)|BA
0198|TNL PCS S/A - OI|BA
0165|STEMAR TELECOMUNICAÇÕES LTDA.|BA / SE
0139|BRASIL TELECOM|BR
0193|BRASIL TELECOM CELULAR|BR
0394|EMBRATEL BRAMEX|BR
0313|EMPRESA OI/BRT|BR
0296|NET SERVICOS DE COMUNICACAO S/A|BR
0407|OI FIBRA (BANDA LARGA, TELEFONE FIXO E TV) - BR (CANCELADO)|BR
0369|OI TV |BR
0465|SKY SERVIÇOS DE BANDA LARGA LTDA|BR
0271|TELEMAR INTERNET LTDA.|BR
0392|TIM - LD 41 |BR
0398|TNL PCS S.A.- TV A CABO |BR
0177|PEGASUS|CE
0034|TELECEARÁ  CELULAR|CE
0015|TELEMAR - CE (TELECEARÁ)|CE
0099|TELEMAR CE CORPORATIVO|CE
0199|TNL PCS S/A - OI|CE
0293|VIVO CEARÁ|CE
0082|GLOBAL VILLAGE TELECOM LTDA.|CURITIBA - PR.
0014|BRASIL TELECOM - FILIAL BRASÍLIA|DF
0150|BRASIL TELECOM CELULAR - DISTRITO FEDERAL|DF
0454|LINK NET INFORMÁTICA - BRASILIA|DF
0257|NET BRASÍLIA S.A|DF
0173|PEGASUS|DF
0107|TCO IP S.A|DF
0047|TELEBRASILIA CELULAR|DF
0138|TELECENTRO OESTE CELULAR PARTICIPAÇÕES S.A. |DF
0140|TELEMAR BRASÍLIA|DF
0141|TELEMAR BRASÍLIA CORPORATIVO|DF
0200|TNL PCS S/A - OI|DF
0160|AMERICEL GSM|DF/GO
0033|AMERICEL S.A|DF/GO
0439|BDNET SOLUÇÕES TECNOLÓGICAS - ICONHA|ES
0370|EMPRESA ESC90|ES
0457|MICRON LINE SERVIÇOS DE INFORMÁTICA|ES
0178|PEGASUS|ES
0396|SIMTERNET TECNOLOGIA DA INFORMAÇÃO LTDA (VOXBRAS)|ES
0028|TELEMAR - ES (TELEST)|ES
0092|TELEMAR ES CORPORATIVO|ES
0060|TELEST CELULAR|ES
0201|TNL PCS S/A - OI|ES
0458|TRANSFER SERVIÇOS EMPRESARIAIS|ES
0420|VOXBRAS - CASTELO (CANCELADO EM DUPLICIDADE COM SIMTERNET - 0396)|ES
0016|BRASIL TELECOM - FILIAL GOIÁS|GO
0151|BRASIL TELECOM CELULAR - GOIÁS|GO
0254|NET ANÁPOLIS LTDA.|GO
0259|NET GOIÂNIA S.A|GO
0396|NET TURBO INFORMÁTICA LTDA|GO
0171|PEGASUS|GO
0273|TCO DF |GO
0044|TELEGOIAS CELULAR|GO
0121|TELEMAR GOIÁS|GO
0122|TELEMAR GOIÁS CORPORATIVO|GO
0202|TNL PCS S/A - OI|GO
0069|GLOBAL TELECOM|LONDRINA- PR
0074|NTB – NORTE BRASIL TELECOM S.A - MARANHÃO|MA
0179|PEGASUS|MA
0030|TELEMAR - MA (TELMA)|MA
0100|TELEMAR MA CORPORATIVO|MA
0061|TELMA CELULAR|MA
0203|TNL PCS S/A - OI|MA
0464|ALGAR SOLUÇÕES EM TIC S/A|MG
0399|ALMENARA ON LINE LTDA|MG
0453|BRSUPER INTERNET|MG
0380|CIA ITABIRANA DE TELECOMUNICAÇÕES LTDA |MG
0272|CLARO |MG
0004|CTBC - CIA. TELEFÔNICA BRASIL CENTRAL|MG
0284|CTBC MULTIMIDIA DATA NET S.A.|MG
0083|ENGEVOX TELECOMUNICAÇÕES LTDA.|MG
0448|FONELIGHT TELECOMUNICAÇÕES - VARGINHA|MG
0307|IMAGE TELECOM TV VÍDEO CABO LTDA|MG
0442|LITE TELECOM - CLÁUDIO|MG
0436|MEGA SIMPLES TELECOM - CLAUDIO|MG
0256|NET BELO HORIZONTE LTDA.|MG
0438|NOVANET PRESTAÇÃO SERVICOS DE TELECOMUNICAÇÕES - CAMPO NOVO DO PARECIS|MG
0168|PEGASUS|MG
0435|PLUGNET TECNOLOGIA E INFORMATICA - OLIVEIRA|MG
0285|SUPORTE TECNOLOGIA E INSTALAÇÕES LTDA|MG
0086|TELE NORTE LESTE PARTICIPAÇÕES S.A|MG
0286|TELECOMDADOS SERVIÇOS LTDA. - BELO HORIZONTE|MG
0018|TELEMAR - MG (TELEMIG)|MG
0093|TELEMAR BA CORPORATIVO|MG
0091|TELEMAR MG CORPORATIVO|MG
0136|TELEMAR UBERLÂNDIA|MG
0137|TELEMAR UBERLÂNDIA CORPORATIVO|MG
0036|TELEMIG CELULAR|MG
0064|TELEMIG CELULAR SIACEL|MG
0204|TNL PCS S/A - OI|MG
0066|TRIÂNGULO CELULAR|MG
0088|TV VÍDEO CABO DE MINAS GERAIS LTDA.|MG
0087|TV VÍDEO CABO DE UBERLÂNDIA LTDA.|MG
0455|UWBR TELECOMUNICAÇÕES "VOX CONEXÃO"|MG
0400|WAY TV BELO HORIZONTE S.A|MG
0440|ZAP BL TELECOMUNICAÇÕES - BOA ESPERANÇA|MG
0035|MAXITEL S.A|MG/BA/SE
0019|BRASIL TELECOM - FILIAL MATO GROSSO DO SUL|MS
0153|BRASIL TELECOM CELULAR - MATO GROSSO DO SUL|MS
0258|NET CAMPO GRANDE LTDA.|MS
0190|PEGASUS|MS
0123|TELEMAR MATO GROSSO DO SUL|MS
0124|TELEMAR MATO GROSSO DO SUL - CORPORATIVO|MS
0049|TELEMS CELULAR|MS
0205|TNL PCS S/A - OI|MS
0017|BRASIL TELECOM - FILIAL MATO GROSSO|MT
0152|BRASIL TELECOM CELULAR - MATO GROSSO|MT
0460|GIGA BYTE PRODUTOS E SERVIÇOS DE INFORMÁTICA LTDA - EPP|MT
0191|PEGASUS|MT
0145|TELEMAR MATO GROSSO|MT
0146|TELEMAR MATO GROSSO CORPORATIVO|MT
0055|TELEMAT CELULAR|MT
0206|TNL PCS S/A - OI|MT
0418|W3 NETWORK LTDA - ALTA FLORESTA |MT
0429|WAVEMAX PROVEDOR DE INTERNET LTDA|MT
0135|APOIO ENGENHARIA E COMUNICAÇÕES LTDA.-MARITUBA|PA
0072|NORTE BRASIL TELECOM S.A|PA
0112|NORTELPA ENGENHARIA LTDA.|PA
0180|PEGASUS|PA
0021|TELEMAR - PA (TELEPARÁ)|PA
0101|TELEMAR PA CORPORATIVO|PA
0057|TELEPARA CELULAR|PA
0207|TNL PCS S/A - OI|PA
0410|VIRTUAL INFORMATICA LTDA ME|PA
0459|ENTERIW PROVEDOR DE INTERNET  - SÃO JOÃO DO RIO DO PEIXE|PB
0382|NET JOÃO PESSOA|PB
0181|PEGASUS|PB
0031|TELEMAR - PB (TELPA)|PB
0098|TELEMAR PB CORPORATIVO|PB
0043|TELPA CELULAR|PB
0208|TNL PCS S/A - OI|PB
0290|VIVO - PARAÍBA|PB
0281|FONAR TELECOMUNICAÇÃO BRASILEIRA LTDA |PE
0261|NET RECIFE S.A|PE
0182|PEGASUS|PE
0032|TELEMAR - PE (TELPE)|PE
0096|TELEMAR PE CORPORATIVO|PE
0046|TELPE CELULAR|PE
0209|TNL PCS S/A - OI|PE
0451|TOOLSNET - LAJEDO|PE
0292|VIVO - PERNAMBUCO|PE
0183|PEGASUS|PI
0022|TELEMAR - PI (TELEPISA)|PI
0102|TELEMAR PI CORPORATIVO|PI
0037|TELEPISA CELULAR|PI
0210|TNL PCS S/A - OI|PI
0294|VIVO - PIAUÍ|PI
0039|BSE S.A. - TELEFONIA CELULAR|PI, CE, RN, PB, PE, AL
0221|BSE S.A. - TELEFONIA CELULAR - GSM|PI, CE, RN, PB, PE, AL
0461|AMPERNET TELECOMUNICAÇÕES LTDA|PR
0020|BRASIL TELECOM - FILIAL PARANÁ|PR
0154|BRASIL TELECOM CELULAR - PARANÁ|PR
0106|COPEL TELECOMUNICAÇÕES S.A|PR
0424|M.H.S. FERREIRA ME - UMUARAMA|PR
0248|NET ARAPONGAS LTDA.|PR
0310|NET CIANORTE|PR
0279|NET CURITIBA|PR
0249|NET LONDRINA LTDA.|PR
0250|NET MARINGÁ LTDA.|PR
0222|NET PARANÁ COMUNICAÇÕES LTDA. - CURITIBA|PR
0311|NET PONTA GROSSA|PR
0417|OPÇÃO NET INFORMATICA LTDA - ME - NOVA SANTA ROSA|PR
0170|PEGASUS|PR
0446|PERSIS INTERNET|PR
0447|PERSIS TELECOM|PR
0423|QNET TELECOM - UMUARAMA|PR
0422|RLINE TELECOM|PR
0007|SERCOMTEL - SERV.  COMUNIC. TELEFÔNICAS DE LONDRINA|PR
0378|SERCOMTEL - SMTV |PR
0070|SERCOMTEL CELULAR S.A.|PR
0129|TELEMAR PARANÁ|PR
0130|TELEMAR PARANÁ CORPORATIVO|PR
0056|TELEPAR CELULAR|PR
0211|TNL PCS S/A - OI|PR
0304|TV A CABO CASCAVEL LTDA|PR
0301|TV A CABO GUARAPUAVA LTDA|PR
0373|TVA SUL PARANÁ S/A|PR
0452|A SAMPAIO CASSIMIRO - NOVA IGUAÇU|RJ
0068|ATL – ALGAR TELECOM LESTE S.A.|RJ
0158|ATL GSM|RJ
0409|BINARIO SERVICE LTDA - ME|RJ
0414|BRIP MULTIMIDIA LTDA|RJ
0006|EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES |RJ
0126|EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES - EBT LIVRE S.A - CORPORATIVO |RJ
0071|EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES - EBT LIVRE S.A - RESIDENCIAL|RJ
0305|EMBRATEL TVSAT TELECOMUNICAÇÕES LTDA|RJ
0077|INTELIG|RJ
0432|LPRINT INFORMÁTICA E ENGENHARIA (PRINT INTERNET) - MACAÉ|RJ
0387|NET BARRA MANSA|RJ
0386|NET RESENDE|RJ
0263|NET RIO S.A|RJ
0167|PEGASUS|RJ
0147|PÉGASUS TELECOM|RJ
0403|PORTO SEGURO TELECOMUNICAÇÕES|RJ
0115|SERMATEL COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES LTDA - CABO FRIO - RJ|RJ
0048|TELEFONICA CELULAR|RJ
0024|TELEMAR - RJ (TELERJ)|RJ
0113|TELEMAR PCS - TELEFONIA CELULAR|RJ
0090|TELEMAR RJ CORPORATIVO|RJ
0212|TNL PCS S/A - OI|RJ
0111|TIM RIO NORTE S.A|RJ/ES/NORTE
0408|JOSEMBERG GALVÃO DE SANTANA - SYNC NET|RN
0184|PEGASUS|RN
0275|SIDYS COMUNICAÇÕES LTDA.|RN
0381|STAR NET COMPUTADORES LTDA. - CURRAIS NOVOS|RN
0025|TELEMAR - RN (TELERN)|RN
0097|TELEMAR RN CORPORATIVO|RN
0040|TELERN CELULAR|RN
0213|TNL PCS S/A - OI|RN
0295|VIVO - RIO GRANDE DO NORTE|RN
0026|BRASIL TELECOM - FILIAL RONDONIA|RO
0156|BRASIL TELECOM CELULAR - RONDÔNIA|RO
0185|PEGASUS|RO
0127|TELEMAR RONDÔNIA|RO
0128|TELEMAR RONDÔNIA CORPORATIVO|RO
0058|TELERON CELULAR|RO
0214|TNL PCS S/A - OI|RO
0075|NTB – NORTE BRASIL TELECOM S.A - RORAIMA|RR
0186|PEGASUS|RR
0050|TELAIMA CELULAR|RR
0008|TELEMAR - RR (TELAIMA)|RR
0105|TELEMAR RR CORPORATIVO|RR
0215|TNL PCS S/A - OI|RR
0421|BR GROUP TELECOMUNICAÇÕES LTDA |RS
0005|BRASIL TELECOM - FILIAL PELOTAS|RS
0270|BRASIL TELECOM CELULAR - PELOTAS|RS
0155|BRASIL TELECOM CELULAR - RIO GRANDE DO SUL|RS
0002|BRASILTELECOM - FILIAL RIO GRANDE DO SUL|RS
0280|COPREL COOPERATIVA DE GERAÇÃO DE ENERGIA E DESENVOLVIMENTO|RS
0405|COPREL TELECOM - IBIRUBÁ|RS
0079|CRT CELULAR|RS
0062|CTMR CELULAR|RS
0456|CYBERFLY SOLUÇÕES EM TECNOLOGIA - VACARIA|RS
0227|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA - CAPÃO DA CANOA|RS
0242|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA - LAJEADO|RS
0228|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA - NOVO HAMBURGO|RS
0226|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA - PORTO ALEGRE|RS
0232|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - BAGÉ|RS
0230|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - BENTO GONÇALVES|RS
0229|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - CAXIAS DO SUL|RS
0238|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - CRUZ ALTA|RS
0239|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - ERECHIM |RS
0231|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - FARROUPILHA|RS
0236|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - PASSO FUNDO|RS
0233|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - PELOTAS|RS
0234|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - RIO GRANDE|RS
0241|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - SANTA CRUZ|RS
0240|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - SANTA MARIA|RS
0235|DR EMPRESA DE DISTR. E RECEPÇÃO DE TV LTDA. - URUGUAIANA|RS
0225|HORIZONTE SUL COMUNICAÇÕES LTDA. - NOVO HAMBURGO|RS
0224|HORIZONTE SUL COMUNICAÇÕES LTDA. - PORTO ALEGRE|RS
0278|HORIZONTE SUL COMUNICAÇÕES LTDA.- SÃO LEOPOLDO|RS
0411|MK SOLUTIONS CRIAÇÃO DE SOFTWARE LTDA|RS
0282|NET BAGÉ|RS
0323|NET BENTO GONÇALVES|RS
0324|NET CANOAS|RS
0325|NET CAPÃO DA CANOA|RS
0326|NET CAXIAS DO SUL|RS
0327|NET CRUZ ALTA|RS
0328|NET ERECHIM|RS
0329|NET FARROUPILHA|RS
0330|NET GRAVATAÍ|RS
0331|NET LAJEADO|RS
0332|NET NOVO HAMBURGO|RS
0333|NET PASSO FUNDO|RS
0334|NET PELOTAS|RS
0335|NET PORTO ALEGRE|RS
0336|NET RIO GRANDE|RS
0337|NET SANTA CRUZ DO SUL|RS
0338|NET SANTA MARIA|RS
0283|NET SÃO LEOPOLDO|RS
0223|NET SUL COMUNICAÇÕES LTDA. - PORTO ALEGRE|RS
0339|NET URUGUAIANA|RS
0169|PEGASUS|RS
0131|TELEMAR RIO GRANDE DO SUL|RS
0132|TELEMAR RIO GRANDE DO SUL CORPORATIVO|RS
0161|TELET GSM|RS
0065|TELET S.A.|RS
0110|TIM CELULAR CENTRO SUL S.A|RS
0216|TNL PCS S/A - OI|RS
0416|TUBARON TECNOLOGIAS LTDA ME|RS
0108|TELEMAIS S.A|RS/SC/PR/SP
0163|ALBRA TELECOM|SC
0246|ANTENAS COMUNITÁRIAS BRASILEIRAS LTDA. - BLUMENAU|SC
