CODIGO|NOME|ESTADO
0197|ANAURILANDIA|MS
0198|ANCHIETA|ES
0199|ANCHIETA|SC
0200|ANDARAI|BA
0201|ANDIRA|PR
0202|ANDORINHA|BA
0203|ANDRADAS|MG
0204|ANDRADINA|SP
0205|ANDRE DA ROCHA|RS
0206|ANDRELANDIA|MG
0207|ANGATUBA|SP
0208|ANGELICA|MS
0209|ANGELIM|PE
0210|ANGELINA|SC
0211|ANGICAL|BA
0212|ANGICAL DO PIAUI|PI
0213|ANGICO|TO
0214|ANGICOS|RN
0215|ANGRA DOS REIS|RJ
0216|ANGUERA|BA
0217|ANHANGUERA|GO
0218|ANHEMBI|SP
0219|ANHUMAS|SP
0220|ANICUNS|GO
0221|ANISIO DE ABREU|PI
0222|ANITA GARIBALDI|SC
0223|ANITAPOLIS|SC
0224|ANORI|AM
0225|ANTA GORDA|RS
0226|ANTAS|BA
0227|ANTONINA|PR
0228|ANTONINA DO NORTE|CE
0229|ANTONIO ALMEIDA|PI
0230|ANTONIO CARDOSO|BA
0231|ANTONIO CARLOS|SC
0232|ANTONIO CARLOS|MG
0233|ANTONIO DIAS|MG
0234|ANTONIO GONÇALVES|BA
0235|ANTONIO JOAO|MS
0236|ANTONIO MARTINS|RN
0237|ANTONIO OLINTO|PR
0238|ANTONIO PRADO|RS
0239|ANTONIO PRADO DE MINAS|MG
0240|APARECIDA|SP
0241|APARECIDA|PB
0242|APARECIDA D’OESTE|SP
0243|APARECIDA DE GOIANIA|GO
0244|APARECIDA DO RIO NEGRO|TO
0245|APARECIDA DO TABOADO|MS
0246|APIACÁ|ES
0247|APIACAS|MT
0248|APIAI|SP
0249|APIDIA|RO
0250|APIUNA|SC
0251|APODI|RN
0252|APORA|BA
0253|APORE|GO
0254|APUAREMA|BA
0255|APUCARANA|PR
0256|APUI|AM
0257|APUIARES|CE
0258|AQUIDABA|SE
0259|AQUIDAUANA|MS
0260|DEPARTAMENTO MUNICIPAL DE TRANSITO E TRANSPORTES URBANOS DE AQUIRAZ |CE
0261|ARACAGI|PB
0262|ARACAI|MG
0263|ARACAJÚ|SE
0264|ARACARIGUAMA|SP
0265|ARACAS|BA
0266|DEPARTAMENTO MUNICIPAL DE TRÂNSITO DE ARACATI - DEMUTRAN|CE
0267|ARACATU|BA
0268|ARAÇATUBA|SP
0269|ARACI|BA
0270|ARACITABA|MG
0271|ARACOIABA|CE
0272|ARACOIABA DA SERRA|SP
0273|ARACRUZ|ES
0274|ARACU|GO
0275|ARACUAI|MG
0276|ARAGARCAS|GO
0277|ARAGOIANIA|GO
0278|ARAGOMINAS|TO
0279|ARAGUACEMA|TO
0280|ARAGUACU|TO
0281|ARAGUAIA|TO
0282|ARAGUAIANA|MT
0283|AGENCIA MUNICIPAL DE TRANSPORTE E TRANSITO DE ARAGUAÍNA|TO
0284|ARAGUAINHA|MT
0285|ARAGUAPAZ|GO
0286|FUNDO MUNICIPAL DE TRÂNSITO E TRANSPORTES DE ARAGUARI|MG
0287|ARAGUATINS|TO
0288|ARAIOSES|MA
0289|ARAL MOREIRA|MS
0290|ARAMARI|BA
0291|ARAME|MA
0292|ARAMINA|SP
0293|ARANDU|SP
0294|ARANTINA|MG
0295|ARAPEI|SP
0296|ARAPIRACA|AL
0297|ARAPOEMA|TO
0298|ARAPONGA |MG
0299|ARAPONGAS|PR
0300|ARAPOTI|PR
0301|ARAPUA|MG
0302|ARAPUTANGA|MT
0303|ARAQUARI|SC
0304|ARARA|PB
0305|ARARANGUA|SC
0306|ARARAQUARA|SP
0307|ARARAS|SP
0308|ARARI|MA
0309|ARARIPE|CE
0310|ARARIPINA|PE
0311|ARARUAMA|RJ
0312|ARARUNA|PB
0313|ARARUNA|PR
0314|ARATACA|BA
0315|ARATIBA|RS
0316|ARATUBA|CE
0317|ARATUIPE|BA
0318|ARAUA|SE
0319|ARAUCARIA|PR
0320|ARAUJOS|MG
0321|ARAXA|MG
0322|ARCEBURGO|MG
0323|ARCOS|MG
0324|ARCOVERDE|PE
0325|AREADO|MG
0326|AREALVA|SP
0327|AREIA|PB
0328|AREIA BRANCA|SE
0329|AREIA BRANCA|RN
0330|AREIA DE BARAUNA|PB
0331|AREIAL|PB
0332|AREIAS|SP
0333|AREIOPOLIS|SP
0334|ARENAPOLIS|MT
0335|ARENOPOLIS|GO
0336|ARES|RN
0337|ARGIRITA|MG
0338|ARINOS|MG
0339|ARIPUANA|MT
0340|ARIQUEMES|RO
0341|ARIRANHA|SP
0342|ARMAZEM|SC
0343|ARNEIROZ|CE
0344|AROAZEZ|PI
0345|AROEIRAS|PB
0346|ARRAIAL|PI
0347|ARRAIAL DO CABO|RJ
0348|ARRAIAS|TO
0349|ARROIO DO MEIO|RS
0350|ARROIO DO SAL|RS
0351|ARROIO DO TIGRE|RS
0352|ARROIO DOS RATOS|RS
0353|ARROIO GRANDE|RS
0354|ARROIO TRINTA|SC
0355|ARTUR NOGUEIRA|SP
0356|ARUANA|GO
0357|ARUJA|SP
0358|ARVOREZINHA|RS
0359|ASCURRA|SC
0360|ASPASIA|SP
